"Index","Beans","Meal","Oil"
2017-01-03,995,312.1,34.81
2017-01-04,1015.25,319.1,35.21
2017-01-05,1012.5,318.2,35.22
2017-01-06,994.75,311.3,34.98
2017-01-09,1005.25,313.9,35.49
2017-01-10,1013.75,317.5,35.64
2017-01-11,1011.5,314.9,36
2017-01-12,1040.25,327.9,36.07
2017-01-13,1046.25,333.9,35.6
2017-01-17,1069.25,348.8,35.56
2017-01-18,1075,351.1,35.58
2017-01-19,1070.25,348.2,35.44
2017-01-20,1067.5,348.7,35.15
2017-01-23,1057.75,343.5,35.13
2017-01-24,1058.5,343,35.28
2017-01-25,1055.25,343.3,34.87
2017-01-26,1049.5,342.4,34.47
2017-01-27,1049.25,343,34.27
2017-01-30,1022.75,334.4,33.61
2017-01-31,1024.5,334.6,33.85
2017-02-01,1036.75,336,34.31
2017-02-02,1037.25,333.8,34.59
2017-02-03,1027,331.6,33.86
2017-02-06,1036,332.8,34.44
2017-02-07,1042.75,335.9,34.3
2017-02-08,1058.75,341.2,34.69
2017-02-09,1050.5,338.4,34.67
2017-02-10,1059,342.1,34.61
2017-02-13,1054.25,343.2,34.17
2017-02-14,1045,339.5,34.14
2017-02-15,1061.25,346.9,33.94
2017-02-16,1043.75,342,33.52
2017-02-17,1032.5,339.6,32.89
2017-02-21,1026.25,337.4,32.95
2017-02-22,1033.5,339.5,33
2017-02-23,1022.5,335.2,32.59
2017-02-24,1024.25,335.7,32.67
2017-02-27,1022,335.6,32.63
2017-02-28,1035.75,336.4,33.93
2017-03-01,1051.75,339.3,34.74
2017-03-02,1037.25,334.8,34.13
2017-03-03,1037.5,333,34.38
2017-03-06,1037.25,333.7,34.27
2017-03-07,1025.25,331.3,33.73
2017-03-08,1021.75,331.1,33.54
2017-03-09,1011,328.5,33.11
2017-03-10,1006.5,328.7,32.68
2017-03-13,1006,330.9,32.12
2017-03-14,999.25,327.2,32.3
2017-03-15,998,327.6,32.22
2017-03-16,1001.5,329.3,32.26
2017-03-17,1000,328.9,32.3
2017-03-20,999.5,326.6,32.74
2017-03-21,1001.5,325.8,33.14
2017-03-22,999.75,323.5,33.52
2017-03-23,991,320.7,33.22
2017-03-24,975.75,318.2,32.23
2017-03-27,971.5,315.3,32.29
2017-03-28,972,315.3,32.47
2017-03-29,969,315.8,32.21
2017-03-30,963,314.9,32.01
2017-03-31,946,308.4,31.78
2017-04-03,938.25,307.6,31.42
2017-04-04,937.75,308.1,31.43
2017-04-05,944.25,309.8,31.83
2017-04-06,941.5,308.7,31.37
2017-04-07,942,307.4,31.62
2017-04-10,941.75,309.1,31.35
2017-04-11,939.25,309.3,31.07
2017-04-12,947.75,312.7,31.24
2017-04-13,955.5,317.5,31.19
2017-04-17,953.25,313.4,31.8
2017-04-18,946,312.2,31.14
2017-04-19,960.5,315.2,31.79
2017-04-20,956.75,311.9,32.12
2017-04-21,960.75,313.6,32.16
2017-04-24,971.75,320.6,31.93
2017-04-25,965,317.7,31.85
